KEGG_name,KEGG_classification,gene_name,count
hsa00562_Inositol_phosphate_metabolism,Carbohydrate metabolism,ALDH6A1/CDIPT/FIG4/IMPA1/IMPA2/INPP1/INPP4A/INPP4B/INPP5A/INPP5B/INPP5D/INPP5E/INPP5F/INPP5J/INPP5K/INPPL1/ISYNA1/ITPK1/ITPKA/ITPKB/ITPKC/MINPP1/MTM1/MTMR1/MTMR14/MTMR2/MTMR3/MTMR4/MTMR6/OCRL/PI4K2A/PI4KA/PI4KB/PIK3C2A/PIK3C2B/PIK3C3/PIK3CA/PIK3CB/PIK3CD/PIK3CG/PIKFYVE/PIP4K2A/PIP4K2C/PIP5K1A/PIP5K1B/PIP5K1C/PLCB1/PLCB2/PLCB3/PLCB4/PLCD1/PLCE1/PLCG1/PLCG2/PLCH1/PLCH2/PTEN/SACM1L/SYNJ2/TPI1,60
hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis,Glycan biosynthesis and metabolism,DPM2/GPAA1/GPLD1/MPPE1/PGAP1/PIGA/PIGB/PIGC/PIGF/PIGG/PIGH/PIGK/PIGL/PIGN/PIGO/PIGQ/PIGT/PIGV/PIGZ,19
hsa00564_Glycerophospholipid_metabolism,Lipid metabolism,ACHE/AGPAT2/AGPAT4/AGPAT5/CDIPT/CDS1/CDS2/CEPT1/CHKA/CHPT1/DGKA/DGKD/DGKE/DGKG/DGKH/DGKI/DGKQ/DGKZ/ETNK1/ETNK2/GNPAT/GPD1/GPD1L/GPD2/LPCAT1/LPCAT3/LPCAT4/LPGAT1/LPIN1/LPIN2/LYPLA1/MBOAT2/MBOAT7/PCYT1A/PCYT1B/PCYT2/PEMT/PGS1/PLA1A/PLA2G12A/PLA2G15/PLA2G1B/PLA2G2D/PLA2G3/PLA2G4A/PLA2G4C/PLA2G5/PLA2G6/PLD1/PLD2/PLD3/PNPLA6/PTDSS1/PTDSS2,54
hsa00565_Ether_lipid_metabolism,Lipid metabolism,AGPS/CEPT1/CHPT1/ENPP2/GAL3ST1/GDPD3/LPCAT1/LPCAT4/PAFAH1B1/PAFAH1B2/PAFAH1B3/PAFAH2/PLA2G12A/PLA2G1B/PLA2G2D/PLA2G3/PLA2G4A/PLA2G4C/PLA2G5/PLA2G6/PLA2G7/PLD1/PLD2/PLD3/UGT8,25
hsa00590_Arachidonic_acid_metabolism,Lipid metabolism,AKR1C3/ALOX12/ALOX12B/ALOX15/ALOX5/ALOXE3/CBR1/CBR3/CYP2C8/CYP2E1/CYP2J2/CYP2U1/CYP4F3/EPHX2/GGT5/GPX4/HPGD/HPGDS/PLA2G12A/PLA2G1B/PLA2G2D/PLA2G3/PLA2G4A/PLA2G4C/PLA2G5/PLA2G6/PTGDS/PTGES2/PTGES3/PTGS1/PTGS2/TBXAS1,32
hsa00591_Linoleic_acid_metabolism,Lipid metabolism,ALOX15/CYP2C8/CYP2E1/CYP2J2/CYP3A4/PLA2G12A/PLA2G1B/PLA2G2D/PLA2G3/PLA2G4A/PLA2G4C/PLA2G5/PLA2G6,13
hsa00592_alpha-Linolenic_acid_metabolism,Lipid metabolism,ACAA1/ACOX1/ACOX3/FADS2/PLA2G12A/PLA2G1B/PLA2G2D/PLA2G3/PLA2G4A/PLA2G4C/PLA2G5/PLA2G6,12
hsa00600_Sphingolipid_metabolism,Lipid metabolism,ARSA/ASAH1/B4GALNT1/B4GALT5/B4GALT6/CERK/DEGS1/GAL3ST1/GALC/GLA/HEXA/HEXB/KDSR/NEU1/NEU3/PSAP/SGMS1/SGPL1/SGPP1/SMPD1/SMPD2/SMPD3/SPHK1/SPHK2/SPTLC1/SPTLC2/SPTLC3/UGCG/UGT8,29
hsa00601_Glycosphingolipid_biosynthesis,Glycan biosynthesis and metabolism,A4GALT/ABO/B3GALNT1/B3GALT2/B3GNT2/B3GNT3/B3GNT4/B4GALT1/B4GALT2/B4GALT3/B4GALT4/FUT1/FUT2/FUT3/FUT4/FUT6/FUT7/GCNT2/ST3GAL4/ST3GAL6/ST8SIA1,21
hsa00603_Glycosphingolipid_biosynthesis,Glycan biosynthesis and metabolism,A4GALT/B3GALNT1/FUT1/FUT2/GLA/HEXA/HEXB/NAGA/ST3GAL1/ST3GAL2/ST8SIA1,11
